StudentName,RollId,RegistrationId,StudentEmail,Gender,Department,Section,Series,DOB,FatherName,MotherName,Contact,Status
Rahul Debnath,2010001,1055,2010001@student.ruet.ac.bd,Male,ECE,A,2020,1995-03-03,Test,Test,01912153465,1
Humayra Tasnim Adiba,2010002,1056,2010002@student.ruet.ac.bd,Female,ECE,A,2020,1994-02-02,Test,Test,01912153465,1
Mahin Ahsan,2010003,1057,2010003@student.ruet.ac.bd,Male,ECE,A,2020,1993-08-06,Test,Test,01912153465,1
Kamrul Islam,2010004,1058,2010004@student.ruet.ac.bd,Male,ECE,A,2020,1992-02-03,Test,Test,01912153465,1
Maysha Iyasmin,2010005,1059,2010005@student.ruet.ac.bd,Female,ECE,A,2020,1991-02-03,Test,Test,01912153465,1
Md.Jonayed Dewan,2010006,1060,2010006@student.ruet.ac.bd,Male,ECE,A,2020,1990-01-12,Md.SalimullahDewan,BilkisBegum,01912153465,1
Md.Tanjim Jahan Joy,2010007,1061,2010007@student.ruet.ac.bd,Male,ECE,A,2020,1995-04-01,Test,Test,01912153465,1
Sahriar Abdur Rahman Shaon,2010008,1062,2010008@student.ruet.ac.bd,Female,ECE,A,2020,1994-07-15,Test,Test,01912153465,1
Mst. Tahmina Akter,2010009,1063,2010009@student.ruet.ac.bd,Male,ECE,A,2020,1993-10-30,Test,Test,01912153465,1
Samira Khan,2010010,1064,2010010@student.ruet.ac.bd,Female,ECE,A,2020,1992-01-22,Test,Test,01912153465,1
Durjoy Saha,2010011,1065,2010011@student.ruet.ac.bd,Male,ECE,A,2020,1991-03-14,Test,Test,01912153465,1
Sajid Rahman,2010012,1066,2010012@student.ruet.ac.bd,Male,ECE,A,2020,1990-05-27,Test,Test,01912153465,1
Sirajum Munir,2010013,1067,2010013@student.ruet.ac.bd,Male,ECE,A,2020,1995-08-10,Test,Test,01912153465,1
Ziharul Islam Rifath,2010014,1068,2010014@student.ruet.ac.bd,Female,ECE,A,2020,1994-11-23,Test,Test,01912153465,1
Iyasin Arafat,2010015,1069,2010015@student.ruet.ac.bd,Male,ECE,A,2020,1993-02-14,Test,Test,01912153465,1
Md. Tawhidul Islam,2010016,1070,2010016@student.ruet.ac.bd,Female,ECE,A,2020,1992-06-05,Test,Test,01912153465,1
Md. Mohtasim Fuad,2010017,1071,2010017@student.ruet.ac.bd,Male,ECE,A,2020,1991-09-18,Test,Test,01912153465,1
Anika Tabassum Tuba,2010018,1072,2010018@student.ruet.ac.bd,Female,ECE,A,2020,1990-12-29,Test,Test,01912153465,1
Md. Ashikul Islam,2010019,1073,2010019@student.ruet.ac.bd,Male,ECE,A,2020,1995-03-12,Test,Test,01912153465,1
Khondokar Radwanur Rahman,2010020,1074,2010020@student.ruet.ac.bd,Male,ECE,A,2020,1994-07-03,Test,Test,01912153465,1
Nowshin Sharmila,2010021,1075,2010021@student.ruet.ac.bd,Male,ECE,A,2020,1993-10-16,Test,Test,01912153465,1
Tanha Farzana,2010022,1076,2010022@student.ruet.ac.bd,Female,ECE,A,2020,1992-01-07,Test,Test,01912153465,1
Ethan Nelson,2010023,1077,2010023@student.ruet.ac.bd,Male,ECE,A,2020,1991-04-19,Test,Test,01912153465,1
Samantha Green,2010024,1078,2010024@student.ruet.ac.bd,Female,ECE,A,2020,1990-07-31,Test,Test,01912153465,1
Matthew Perez,2010025,1079,2010025@student.ruet.ac.bd,Male,ECE,A,2020,1995-09-02,Test,Test,01912153465,1
Ashley Hill,2010026,1080,2010026@student.ruet.ac.bd,Female,ECE,A,2020,1994-12-15,Test,Test,01912153465,1
Ryan Wright,2010027,1081,2010027@student.ruet.ac.bd,Male,ECE,A,2020,1993-03-28,Test,Test,01912153465,1
Emma Martinez,2010028,1082,2010028@student.ruet.ac.bd,Female,ECE,A,2020,1992-06-10,Test,Test,01912153465,1
Benjamin Hernandez,2010029,1083,2010029@student.ruet.ac.bd,Male,ECE,A,2020,1991-09-23,Test,Test,01912153465,1
Madison Carter,2010030,1084,2010030@student.ruet.ac.bd,Female,ECE,A,2020,1990-12-04,Test,Test,01912153465,1
Andrew Phillips,2010031,1085,2010031@student.ruet.ac.bd,Male,ECE,A,2020,1995-03-17,Test,Test,01912153465,1
